JJ JJ JJ NN,NP
JJ JJ NN,NP
JJ JJ NN NN,NP
JJ JJ NNS,NP
JJ NN,NP
JJ NN NN,NP
JJ NN NN NN,NP
JJ NN NNS,NP
JJ NNS,NP
JJ VBN JJ JJ VBG NN,NP
JJS NN,NP
NN,NP
NN NN,NP
NN NN NN,NP
NN NN NN NNS,NP
NN NN NNS,NP
NN NNS,NP
NN VBG NN,NP
NNP,NP
NNP NN NN,NP
NNP NN NN NN NN,NP
NNP NN NN NNS,NP
NNP NNP,NP
NNP NNP NNP,NP
NNP NNP NNP NNP,NP
NNP NNS,NP
NNP VBD NNS,NP
NNS,NP
RB JJ NNS,NP
RB VBN JJ NN,NP
RB VBN NN NN,NP
RB VBN NNP NN,NP
VBG,NP
VBG NN,NP
VBG NN,NP
VBN NN,NP
VBN NN NN,NP
VBN NN NNS,NP
VBN NNS,NP
